Date,"Type of Order",Location,"ARE YOU ENTERING PRODUCTION FROM CENTRAL PROCESSING OR ARE YOU LEE HARVARD STORE?  (THIS IS ONLY FOR CENTRAL PROCESSING OR LEE HARVARD)",Donors,"Rotated Apparel","Rotated Wares","Rotated Books","Rotated Shoes","Apparel Gaylords Used","Wares Gaylords Used","Book Gaylords Used","Shoe Gaylords Used","Wares Production","Apparel Production","Full Totes","Empty Totes","Full Duros","Empty Duros","Full Blue Bins","Empty Blue Bins","Full Gaylords","Empty Gaylords","Full Containers","Empty Containers","Empty Pallets","Totes Returned","Duros Returned","Blue Bins Returned","Gaylords Returned","Pallets Returned","Containers Returned","Totes Requested","Duros Requested","Blue Bins Requested","Gaylords Requested","Pallets Requested","Containers Requested","Wares Gaylords Requested","Apparel Gaylords Requested","Electrical Gaylords Requested","Accessories Gaylords Requested","Books Gaylords Requested","Shoes Gaylords Requested","Saved Winter Requested","Saved Summer Requested","Saved Halloween Requested","Saved Christmas Requested","Wares Gaylords Returned","Apparel Gaylords Returned","Electrical Gaylords Returned","Accessories Gaylords Returned","Books Gaylords Returned","Shoes Gaylords Returned","Saved Winter Returned","Saved Summer Returned","Saved Halloween Returned","Saved Christmas Returned","Outlet Apparel","Outlet Shoes","Outlet Metal","Outlet Wares","Outlet Accessories","Outlet Electrical","eCom Containers Sent",Notes
12/31/2025,"End of Day/Equipment Count","Washington Square",,,,,,,,,,,,,,,,,,,,9,10,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,"End of Day/Equipment Count",University,,,,,,,,,,,,,175,150,10,0,15,8,30,12,11,8,14,,,,,,,,,,,,,,,,,,,,,,,5,9,,2,,,,,,,2,1,,6,,2,,"SALVAGE: Cardboard 1"
12/31/2025,Donors,"Uniontown ADC",,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,"End of Day/Equipment Count","Uniontown ADC",,,,,,,,,,,,,56,41,3,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2025,"Transfer and Receive","New Philly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,"Please do not send the 60 wares gaylords. These have already arrived on site from Cincinatti."
12/31/2025,Donors,"Outlet Cleveland",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,"End of Day/Equipment Count","Outlet Canton",,,92,92,14,16,42,48,,3,,,,,,,,,220,10,,,10,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,7,
12/31/2025,"End of Day/Equipment Count",Wintersville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,
12/31/2025,Donors,"Outlet Canton",,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,"End of Day/Equipment Count","New Philly",,,,,,,,,,,,,349,151,11,9,5,15,62,8,5,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,8,,,5,1,,,"shipping 1 cardboard salvage"
12/31/2025,"End of Day/Equipment Count","Route 62",,,,,,,,,,,,,463,32,13,5,13,8,10,20,6,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,5,,,1,"1 ecom of accessories and shoes"
12/31/2025,"End of Day/Equipment Count",Perry,,,,,,,,,,,,,500,165,17,2,16,10,22,11,8,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,5,,,4,
12/31/2025,"End of Day/Equipment Count",Alliance,,,,,,,,,,,,,346,154,13,7,28,6,21,10,7,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,4,,,2,"sending out 1 gaylord of cardbord thank you"
12/31/2025,"End of Day/Equipment Count",Painesville,,,,,,,,,,,,,145,355,10,0,11,10,1,26,0,7,22,,,,,,,,,,,,,,,,,,,,,,,2,7,,,1,1,,,,,6,,,6,,,1,"1 cardboard and 1 seasonal"
12/31/2025,Donors,"Westlake ADC",,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,Donors,"Washington Square ADC",,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,"End of Day/Equipment Count","Washington Square ADC",,,,,,,,,,,,,12,,1,,1,,0,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2025,"End of Day/Equipment Count",Weirton,,,,,,,,,,,,,408,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,1,
